Ticket ID,Ticket Type,Ticket Class,Base Price,Age,Discount Category,Final Price,Journey Status,Refund Request,Delay Reason,Payment Method,Method,Start Station,End Station,Journey Date,Gender
TKT1001208,7 Days,First Class,100,20,University Student,50.0,Cancelled,Yes,,Card,Darb App,Al Rabi,KSU,2024-12-10,Male
TKT1001209,3 Days,First Class,50,77,Senior,25.0,On Time,No,,Cash,TVM,Manfouha,Al Batha,2025-01-22,Female
TKT1001210,1 Month,Standard,140,8,School Student,70.0,Cancelled,Yes,,Apple Pay,TVM,West Station,Ghornata,2025-01-14,Female
TKT1001211,2 Hours,First Class,10,74,Senior,5.0,Cancelled,Yes,,Apple Pay,Ticket Office,STC,Bank Albilad,2025-04-14,Male
TKT1001212,2 Hours,First Class,10,14,School Student,5.0,Cancelled,Yes,,Card,Ticket Office,Al Muruj,Sulaimaniah,2025-01-25,Male
TKT1001213,1 Month,First Class,350,74,Senior,175.0,Delayed,No,Maintenance,Card,Ticket Office,KAFD,Al Muruj,2025-01-26,Female
TKT1001214,2 Hours,Standard,4,65,Senior,2.0,Cancelled,Yes,,Card,Darb App,SABB,Al Worood,2025-02-10,Female
TKT1001215,7 Days,Standard,40,4,Child,0.0,On Time,No,,Apple Pay,Darb App,Al Aziziyah,Al Murabba,2025-02-01,Female
TKT1001216,2 Hours,First Class,10,48,Adult,10.0,Delayed,No,Maintenance,Apple Pay,Ticket Office,King Fahad Library,KSU,2025-03-04,Female
TKT1001217,7 Days,First Class,100,41,Adult,100.0,On Time,No,,Apple Pay,TVM,National Museum,KAFD,2025-03-12,Female
TKT1001218,3 Days,Standard,20,64,Senior,10.0,Delayed,No,Maintenance,Apple Pay,Gate Payment,Al Worood,Al Yarmouk,2025-03-16,Female
TKT1001219,7 Days,First Class,100,37,Adult,100.0,On Time,No,,Apple Pay,TVM,King Fahad District,Imam University,2024-12-12,Female
TKT1001220,2 Hours,First Class,10,30,University Student,5.0,Delayed,No,Maintenance,Apple Pay,TVM,Al Muruj,Qasr Al Hokm,2025-02-22,Female
TKT1001221,2 Hours,Standard,4,25,University Student,2.0,On Time,No,,Apple Pay,Gate Payment,Ministry of Interior,SABB,2025-05-01,Male
TKT1001222,2 Hours,Standard,4,41,Adult,4.0,Cancelled,Yes,,Card,Gate Payment,Al Nuzha,Al Dhubab,2025-02-15,Male
TKT1001223,3 Days,First Class,50,69,Senior,25.0,On Time,No,,Card,Gate Payment,Manfouha,Al Nuzha,2025-05-01,Male
TKT1001224,1 Month,First Class,350,17,School Student,175.0,On Time,No,,Card,Gate Payment,Ghornata,KKIA,2025-04-29,Male
TKT1001225,2 Hours,First Class,10,21,University Student,5.0,On Time,No,,Cash,TVM,Al Batha,Al Aziziyah,2024-12-29,Male
TKT1001226,3 Days,Standard,20,29,University Student,10.0,On Time,No,,Apple Pay,Ticket Office,Al Murabba,Ad Dar Al Baida,2025-03-04,Female
TKT1001227,2 Hours,First Class,10,70,Senior,5.0,Delayed,No,Technical Issue,Card,Ticket Office,Al Oruba,Olaya,2024-12-13,Male
TKT1001228,3 Days,First Class,50,65,Senior,25.0,On Time,No,,Card,Darb App,Al Oruba,STC,2025-02-14,Female
TKT1001229,2 Hours,Standard,4,20,University Student,2.0,On Time,No,,Apple Pay,Darb App,Al Yarmouk,Al Oruba,2024-12-31,Male
TKT1001230,3 Days,First Class,50,70,Senior,25.0,Delayed,No,Technical Issue,Card,Darb App,KAFD,Al Nuzha,2025-02-26,Male
TKT1001231,2 Hours,First Class,10,5,Child,0.0,On Time,No,,Card,Darb App,Ministry of Interior,Sulaimaniah,2025-04-18,Female
TKT1001232,3 Days,First Class,50,45,Adult,50.0,Cancelled,Yes,,Apple Pay,TVM,Al Rabi,King Fahad District 2,2025-02-27,Female
TKT1001233,2 Hours,Standard,4,42,Adult,4.0,Cancelled,Yes,,Apple Pay,Ticket Office,Al Murabba,Sulaimaniah,2025-02-07,Female
TKT1001234,1 Month,First Class,350,74,Senior,175.0,Cancelled,Yes,,Apple Pay,Gate Payment,West Station,King Fahad District,2025-01-20,Female
TKT1001235,2 Hours,Standard,4,12,School Student,2.0,On Time,No,,Apple Pay,Ticket Office,Bank Albilad,Al Muruj,2024-12-13,Male
TKT1001236,3 Days,First Class,50,16,School Student,25.0,On Time,No,,Apple Pay,Gate Payment,Al Muruj,Al Rabi,2025-02-11,Male
TKT1001237,3 Days,Standard,20,38,Adult,20.0,On Time,No,,Cash,TVM,Princess Nourah University,Olaya,2025-02-18,Male
TKT1001238,1 Month,Standard,140,7,School Student,70.0,On Time,No,,Card,TVM,King Fahad District 2,King Saud,2025-03-26,Female
TKT1001239,7 Days,First Class,100,38,Adult,100.0,On Time,No,,Cash,Ticket Office,National Museum,Al Dooh,2024-12-26,Female
TKT1001240,2 Hours,First Class,10,37,Adult,10.0,On Time,No,,Card,Ticket Office,Al Worood,West Station,2025-02-07,Female
TKT1001241,7 Days,Standard,40,33,Adult,40.0,Delayed,No,Technical Issue,Card,Gate Payment,Al Nuzha,SABB,2025-02-22,Male
TKT1001242,1 Month,Standard,140,77,Senior,70.0,Cancelled,Yes,,Apple Pay,TVM,Qasr Al Hokm,Alinma,2025-01-09,Female
TKT1001243,1 Month,Standard,140,80,Senior,70.0,Cancelled,Yes,,Card,Gate Payment,Princess Nourah University,West Station,2025-02-22,Male
TKT1001244,3 Days,Standard,20,18,School Student,10.0,Cancelled,Yes,,Apple Pay,Darb App,Manfouha,Al Worood,2025-02-22,Male
TKT1001245,7 Days,First Class,100,40,Adult,100.0,Delayed,No,Technical Issue,Card,Gate Payment,Al Muruj,Qasr Al Hokm,2025-04-02,Male
TKT1001246,1 Month,First Class,350,79,Senior,175.0,Delayed,No,Technical Issue,Card,Ticket Office,KAFD,Imam University,2025-05-03,Female
TKT1001247,3 Days,First Class,50,75,Senior,25.0,Delayed,No,Maintenance,Apple Pay,Ticket Office,Olaya,KKIA,2025-01-19,Female
TKT1001248,7 Days,Standard,40,39,Adult,40.0,Delayed,No,Technical Issue,Card,TVM,Ad Dar Al Baida,Al Oruba,2025-01-09,Male
TKT1001249,7 Days,Standard,40,7,School Student,20.0,Delayed,No,Maintenance,Apple Pay,Gate Payment,Manfouha,Al Dhubab,2024-12-26,Female
TKT1001250,2 Hours,Standard,4,76,Senior,2.0,On Time,No,,Card,Gate Payment,King Fahad Library,King Fahad District 2,2025-02-08,Male
TKT1001251,7 Days,Standard,40,6,Child,0.0,Delayed,No,Maintenance,Card,Darb App,Imam University,Al Batha,2025-03-09,Male
TKT1001252,2 Hours,Standard,4,50,Adult,4.0,On Time,No,,Apple Pay,Darb App,Al Dhubab,Ghornata,2025-01-03,Male
TKT1001253,2 Hours,First Class,10,79,Senior,5.0,Cancelled,Yes,,Card,Gate Payment,SABB,Al Dooh,2025-03-11,Male
TKT1001254,7 Days,Standard,40,54,Adult,40.0,On Time,No,,Apple Pay,Gate Payment,Ad Dar Al Baida,National Museum,2025-04-28,Male
TKT1001255,2 Hours,First Class,10,26,University Student,5.0,Cancelled,Yes,,Card,TVM,Bank Albilad,Al Batha,2025-01-16,Male
TKT1001256,3 Days,Standard,20,23,University Student,10.0,Delayed,No,Maintenance,Apple Pay,Darb App,KAFD,Imam University,2025-01-29,Male
TKT1001257,1 Month,Standard,140,2,Child,0.0,Delayed,No,Maintenance,Cash,TVM,Al Dhubab,Sulaimaniah,2024-12-13,Male
TKT1001258,7 Days,Standard,40,73,Senior,20.0,Cancelled,Yes,,Card,Darb App,King Fahad Library,Al Murabba,2025-04-04,Female
TKT1001259,3 Days,First Class,50,11,School Student,25.0,Delayed,No,Maintenance,Cash,TVM,Al Yarmouk,King Fahad Library,2025-03-21,Female
TKT1001260,3 Days,Standard,20,51,Adult,20.0,Delayed,No,Maintenance,Card,Gate Payment,STC,Olaya,2025-01-21,Male
TKT1001261,1 Month,Standard,140,54,Adult,140.0,Delayed,No,Maintenance,Card,Darb App,Al Dhubab,Al Yarmouk,2025-03-14,Female
TKT1001262,7 Days,Standard,40,48,Adult,40.0,Cancelled,Yes,,Apple Pay,TVM,SABB,National Museum,2025-01-27,Male
TKT1001263,2 Hours,First Class,10,54,Adult,10.0,On Time,No,,Cash,TVM,Ad Dar Al Baida,Qasr Al Hokm,2025-01-23,Female
TKT1001264,2 Hours,Standard,4,66,Senior,2.0,Delayed,No,Maintenance,Card,TVM,Al Batha,Sulaimaniah,2025-03-22,Male
TKT1001265,3 Days,Standard,20,76,Senior,10.0,On Time,No,,Apple Pay,Ticket Office,Ad Dar Al Baida,Qasr Al Hokm,2025-01-25,Male
TKT1001266,1 Month,First Class,350,36,Adult,350.0,Delayed,No,Maintenance,Apple Pay,Darb App,Al Muruj,Al Oruba,2025-03-12,Male
TKT1001267,2 Hours,First Class,10,18,School Student,5.0,On Time,No,,Apple Pay,Darb App,National Museum,West Station,2024-12-10,Male
TKT1001268,1 Month,Standard,140,18,School Student,70.0,On Time,No,,Card,Darb App,Al Dhubab,KSU,2025-03-19,Female
TKT1001269,2 Hours,First Class,10,52,Adult,10.0,Delayed,No,Technical Issue,Apple Pay,Darb App,Al Aziziyah,Imam University,2025-03-05,Female
TKT1001270,1 Month,First Class,350,9,School Student,175.0,On Time,No,,Cash,TVM,Al Batha,King Fahad District,2025-02-22,Female
TKT1001271,2 Hours,First Class,10,32,Adult,10.0,On Time,No,,Apple Pay,Gate Payment,Al Murabba,King Fahad Library,2025-02-10,Female
TKT1001272,2 Hours,First Class,10,48,Adult,10.0,Delayed,No,Technical Issue,Apple Pay,Ticket Office,Ad Dar Al Baida,King Fahad Library,2025-01-11,Female
TKT1001273,7 Days,First Class,100,78,Senior,50.0,On Time,No,,Card,TVM,KSU,Al Worood,2025-04-17,Male
TKT1001274,1 Month,Standard,140,32,Adult,140.0,Cancelled,Yes,,Card,TVM,Qasr Al Hokm,Bank Albilad,2025-01-21,Female
TKT1001275,3 Days,Standard,20,59,Adult,20.0,On Time,No,,Apple Pay,TVM,Princess Nourah University,Al Dooh,2025-04-28,Male
TKT1001276,1 Month,Standard,140,47,Adult,140.0,On Time,No,,Card,Darb App,KKIA,King Fahad District 2,2024-12-11,Male
TKT1001277,1 Month,Standard,140,51,Adult,140.0,Delayed,No,Technical Issue,Card,Ticket Office,National Museum,Manfouha,2025-04-13,Female
TKT1001278,1 Month,First Class,350,58,Adult,350.0,Delayed,No,Maintenance,Apple Pay,Darb App,STC,Manfouha,2024-12-15,Male
TKT1001279,1 Month,First Class,350,10,School Student,175.0,Delayed,No,Technical Issue,Apple Pay,Gate Payment,Qasr Al Hokm,King Fahad Library,2024-12-31,Male
TKT1001280,3 Days,First Class,50,49,Adult,50.0,Cancelled,Yes,,Apple Pay,TVM,Al Aziziyah,Al Muruj,2025-03-14,Male
TKT1001281,7 Days,Standard,40,45,Adult,40.0,Cancelled,Yes,,Card,Ticket Office,Al Rabi,KKIA,2025-03-27,Female
TKT1001282,2 Hours,First Class,10,67,Senior,5.0,Cancelled,Yes,,Card,TVM,Sulaimaniah,KSU,2025-02-06,Male
TKT1001283,1 Month,Standard,140,17,School Student,70.0,On Time,No,,Apple Pay,Ticket Office,SABB,Al Batha,2025-02-14,Male
TKT1001284,7 Days,First Class,100,27,University Student,50.0,Cancelled,Yes,,Apple Pay,Ticket Office,Al Dooh,Al Aziziyah,2025-03-27,Female
TKT1001285,7 Days,Standard,40,6,Child,0.0,On Time,No,,Card,Darb App,King Fahad Library,KKIA,2025-01-31,Female
TKT1001286,1 Month,Standard,140,54,Adult,140.0,Delayed,No,Technical Issue,Cash,TVM,Ministry of Interior,Al Dhubab,2024-12-30,Female
TKT1001287,3 Days,First Class,50,2,Child,0.0,Cancelled,Yes,,Card,Ticket Office,Al Aziziyah,Ministry of Interior,2025-03-08,Female
TKT1001288,2 Hours,Standard,4,11,School Student,2.0,On Time,No,,Apple Pay,Darb App,Al Aziziyah,Al Worood,2025-04-29,Male
TKT1001289,7 Days,First Class,100,7,School Student,50.0,Cancelled,Yes,,Card,TVM,Imam University,Al Aziziyah,2025-02-22,Male
TKT1001290,3 Days,Standard,20,76,Senior,10.0,Delayed,No,Maintenance,Card,TVM,Al Nuzha,Al Yarmouk,2025-04-05,Female
TKT1001291,2 Hours,Standard,4,30,University Student,2.0,On Time,No,,Apple Pay,Gate Payment,King Fahad Library,King Fahad District 2,2025-01-19,Male
TKT1001292,1 Month,Standard,140,45,Adult,140.0,Cancelled,Yes,,Apple Pay,Ticket Office,KSU,Al Rabi,2025-01-02,Male
TKT1001293,3 Days,First Class,50,77,Senior,25.0,Cancelled,Yes,,Card,Gate Payment,KAFD,Princess Nourah University,2025-02-11,Male
TKT1001294,1 Month,First Class,350,46,Adult,350.0,Delayed,No,Technical Issue,Apple Pay,Gate Payment,Ad Dar Al Baida,Sulaimaniah,2025-04-30,Female
TKT1001295,3 Days,First Class,50,77,Senior,25.0,On Time,No,,Apple Pay,Ticket Office,King Fahad District,Al Oruba,2025-03-08,Male
TKT1001296,3 Days,Standard,20,8,School Student,10.0,Delayed,No,Maintenance,Apple Pay,Gate Payment,KAFD,Bank Albilad,2025-02-22,Male
TKT1001297,2 Hours,First Class,10,29,University Student,5.0,Cancelled,Yes,,Card,Darb App,National Museum,Al Batha,2025-02-06,Male
TKT1001298,1 Month,Standard,140,59,Adult,140.0,Cancelled,Yes,,Card,Darb App,Al Aziziyah,Ghornata,2025-02-22,Male
TKT1001299,1 Month,First Class,350,28,University Student,175.0,On Time,No,,Card,Darb App,Sulaimaniah,Al Worood,2025-02-22,Female
TKT1001300,1 Month,Standard,140,49,Adult,140.0,Cancelled,Yes,,Apple Pay,Darb App,King Fahad District 2,Qasr Al Hokm,2025-02-22,Male
TKT1001301,3 Days,Standard,20,76,Senior,10.0,Cancelled,Yes,,Card,Gate Payment,Al Aziziyah,Al Worood,2025-03-22,Male
TKT1001302,1 Month,First Class,350,28,University Student,175.0,Cancelled,Yes,,Card,Ticket Office,Princess Nourah University,King Fahad District 2,2024-12-06,Male
TKT1001303,2 Hours,Standard,4,65,Senior,2.0,On Time,No,,Card,Gate Payment,Qasr Al Hokm,KKIA,2025-02-22,Male
TKT1001304,1 Month,First Class,350,19,University Student,175.0,Delayed,No,Technical Issue,Card,Ticket Office,Ghornata,Olaya,2025-02-22,Female
TKT1001305,1 Month,Standard,140,11,School Student,70.0,On Time,No,,Card,Darb App,Ad Dar Al Baida,Al Murabba,2025-03-23,Male
TKT1001306,1 Month,First Class,350,49,Adult,350.0,Delayed,No,Maintenance,Apple Pay,Darb App,Al Aziziyah,Alinma,2025-02-25,Male
TKT1001307,1 Month,Standard,140,59,Adult,140.0,Cancelled,Yes,,Apple Pay,TVM,West Station,Al Aziziyah,2025-01-02,Female
TKT1001308,1 Month,First Class,350,28,University Student,175.0,On Time,No,,Card,Darb App,Al Murabba,Qasr Al Hokm,2025-02-22,Male
TKT1001309,1 Month,Standard,140,49,Adult,140.0,Delayed,No,Maintenance,Card,Darb App,Al Dooh,Al Dhubab,2025-02-26,Male
TKT1001310,3 Days,Standard,20,13,School Student,10.0,Cancelled,Yes,,Apple Pay,Gate Payment,KAFD,Ghornata,2025-04-05,Male
TKT1001311,3 Days,Standard,20,55,Adult,20.0,Delayed,No,Technical Issue,Apple Pay,Gate Payment,King Fahad Library,Al Dooh,2025-04-21,Male
TKT1001312,1 Month,First Class,350,3,Child,0.0,On Time,No,,Card,Darb App,King Fahad District,Alinma,2025-03-06,Male
TKT1001313,7 Days,Standard,40,56,Adult,40.0,On Time,No,,Apple Pay,Gate Payment,Al Nuzha,King Fahad District 2,2025-01-13,Male
TKT1001314,3 Days,Standard,20,60,Senior,10.0,On Time,No,,Apple Pay,Darb App,King Fahad Library,SABB,2025-01-08,Female
TKT1001315,1 Month,First Class,350,3,Child,0.0,Cancelled,Yes,,Apple Pay,TVM,Al Batha,Al Oruba,2025-03-04,Female
TKT1001316,3 Days,First Class,50,54,Adult,50.0,Cancelled,Yes,,Cash,TVM,Ghornata,Al Dooh,2025-01-14,Male
TKT1001317,1 Month,Standard,140,34,Adult,140.0,On Time,No,,Cash,TVM,Princess Nourah University,King Fahad District 2,2025-05-01,Female
TKT1001318,3 Days,Standard,20,46,Adult,20.0,On Time,No,,Apple Pay,Darb App,Princess Nourah University,Olaya,2024-12-15,Male
TKT1001319,7 Days,First Class,100,6,Child,0.0,On Time,No,,Apple Pay,Darb App,Alinma,Al Aziziyah,2025-02-06,Male
TKT1001320,3 Days,Standard,20,46,Adult,20.0,On Time,No,,Apple Pay,Ticket Office,Al Rabi,Al Batha,2025-05-02,Male
TKT1001321,7 Days,Standard,40,34,Adult,40.0,On Time,No,,Card,Gate Payment,Al Dooh,STC,2025-03-24,Female
TKT1001322,1 Month,First Class,350,53,Adult,350.0,Cancelled,Yes,,Apple Pay,Gate Payment,Qasr Al Hokm,KSU,2025-05-02,Female
TKT1001323,2 Hours,First Class,10,13,School Student,5.0,On Time,No,,Card,Gate Payment,West Station,Ministry of Interior,2025-04-18,Female
TKT1001324,7 Days,Standard,40,74,Senior,20.0,Delayed,No,Technical Issue,Card,Ticket Office,West Station,Bank Albilad,2025-01-09,Male
TKT1001325,3 Days,First Class,50,49,Adult,50.0,Delayed,No,Maintenance,Card,TVM,Al Aziziyah,Al Nuzha,2025-01-13,Female
TKT1001326,2 Hours,First Class,10,5,Child,0.0,Cancelled,Yes,,Card,Gate Payment,Imam University,King Fahad District 2,2024-12-25,Male
TKT1001327,7 Days,First Class,100,29,University Student,50.0,Cancelled,Yes,,Card,TVM,Al Nuzha,SABB,2025-04-27,Female
TKT1001328,1 Month,First Class,350,20,University Student,175.0,Cancelled,Yes,,Apple Pay,Gate Payment,Al Batha,Imam University,2025-02-22,Male
TKT1001329,1 Month,First Class,350,68,Senior,175.0,On Time,No,,Card,TVM,KKIA,Al Rabi,2024-12-25,Male
TKT1001330,7 Days,Standard,40,2,Child,0.0,Cancelled,Yes,,Card,TVM,Ministry of Interior,King Saud,2025-03-21,Male
TKT1001331,1 Month,Standard,140,49,Adult,140.0,On Time,No,,Card,Darb App,KAFD,Al Oruba,2024-12-31,Male
TKT1001332,1 Month,Standard,140,26,University Student,70.0,Cancelled,Yes,,Card,Ticket Office,Ghornata,Al Dhubab,2025-04-02,Male
TKT1001333,3 Days,First Class,50,2,Child,0.0,Delayed,No,Technical Issue,Apple Pay,Darb App,King Fahad District,Ministry of Interior,2025-04-19,Male
TKT1001334,7 Days,First Class,100,75,Senior,50.0,On Time,No,,Card,Darb App,Al Muruj,Al Aziziyah,2024-12-24,Male
TKT1001335,2 Hours,First Class,10,23,University Student,5.0,Cancelled,Yes,,Cash,Ticket Office,Al Yarmouk,Princess Nourah University,2025-02-16,Male
TKT1001336,7 Days,Standard,40,52,Adult,40.0,Cancelled,Yes,,Apple Pay,Ticket Office,Al Batha,Ministry of Interior,2025-04-12,Male
TKT1001337,3 Days,Standard,20,71,Senior,10.0,Cancelled,Yes,,Card,Darb App,Al Worood,West Station,2025-02-22,Male
TKT1001338,7 Days,Standard,40,24,University Student,20.0,On Time,No,,Apple Pay,TVM,Manfouha,KKIA,2025-04-04,Male
TKT1001339,3 Days,Standard,20,50,Adult,20.0,Cancelled,Yes,,Apple Pay,Gate Payment,KAFD,Alinma,2025-04-26,Male
TKT1001340,7 Days,Standard,40,18,School Student,20.0,On Time,No,,Card,Gate Payment,SABB,King Saud,2025-04-08,Male
TKT1001341,3 Days,First Class,50,40,Adult,50.0,Cancelled,Yes,,Card,Gate Payment,Al Yarmouk,Ministry of Interior,2025-03-30,Male
TKT1001342,3 Days,First Class,50,67,Senior,25.0,Cancelled,Yes,,Cash,TVM,Imam University,Qasr Al Hokm,2025-03-17,Female
TKT1001343,2 Hours,First Class,10,45,Adult,10.0,On Time,No,,Card,TVM,Al Muruj,Al Nuzha,2025-03-06,Female
TKT1001344,7 Days,First Class,100,53,Adult,100.0,On Time,No,,Apple Pay,Gate Payment,Al Batha,Al Rabi,2025-02-22,Female
TKT1001345,1 Month,Standard,140,36,Adult,140.0,Cancelled,Yes,,Apple Pay,TVM,KKIA,KAFD,2025-03-21,Male
TKT1001346,2 Hours,Standard,4,27,University Student,2.0,Delayed,No,Maintenance,Apple Pay,Darb App,Imam University,Ghornata,2025-05-03,Male
TKT1001347,7 Days,First Class,100,27,University Student,50.0,Delayed,No,Maintenance,Apple Pay,Ticket Office,Bank Albilad,Ministry of Interior,2025-03-21,Male
TKT1001348,1 Month,First Class,350,46,Adult,350.0,Cancelled,Yes,,Card,TVM,Manfouha,STC,2024-12-13,Female
TKT1001349,2 Hours,Standard,4,44,Adult,4.0,Delayed,No,Maintenance,Cash,TVM,Al Batha,Al Rabi,2025-03-24,Male
TKT1001350,7 Days,Standard,40,11,School Student,20.0,Cancelled,Yes,,Card,Gate Payment,Al Yarmouk,Al Dooh,2024-12-20,Male
TKT1001351,7 Days,Standard,40,3,Child,0.0,Cancelled,Yes,,Card,Darb App,STC,King Fahad District 2,2025-01-07,Male
TKT1001352,2 Hours,First Class,10,55,Adult,10.0,On Time,No,,Apple Pay,Darb App,West Station,Al Dhubab,2025-01-25,Female
TKT1001353,2 Hours,First Class,10,65,Senior,5.0,On Time,No,,Cash,Ticket Office,King Saud,Sulaimaniah,2025-04-27,Male
TKT1001354,2 Hours,First Class,10,62,Senior,5.0,Cancelled,Yes,,Cash,TVM,Al Muruj,Al Aziziyah,2024-12-10,Female
TKT1001355,2 Hours,Standard,4,61,Senior,2.0,Cancelled,Yes,,Apple Pay,Gate Payment,Al Dooh,Al Dhubab,2025-03-18,Male
TKT1001356,7 Days,First Class,100,30,University Student,50.0,Cancelled,Yes,,Apple Pay,Ticket Office,Al Yarmouk,Bank Albilad,2025-03-21,Male
TKT1001357,7 Days,Standard,40,73,Senior,20.0,On Time,No,,Card,Darb App,Qasr Al Hokm,King Fahad Library,2025-02-02,Male
TKT1001358,2 Hours,Standard,4,76,Senior,2.0,On Time,No,,Apple Pay,Darb App,Al Murabba,King Fahad District 2,2025-05-01,Male
TKT1001359,2 Hours,Standard,4,67,Senior,2.0,Delayed,No,Technical Issue,Apple Pay,TVM,KSU,Al Batha,2024-12-12,Female
TKT1001360,1 Month,First Class,350,25,University Student,175.0,Delayed,No,Technical Issue,Apple Pay,Gate Payment,Al Rabi,Al Yarmouk,2025-03-09,Male
TKT1001361,7 Days,Standard,40,31,Adult,40.0,Delayed,No,Maintenance,Apple Pay,Darb App,SABB,King Fahad Library,2025-02-11,Male
TKT1001362,1 Month,Standard,140,4,Child,0.0,Cancelled,Yes,,Apple Pay,Darb App,Al Rabi,Ghornata,2025-02-22,Male
TKT1001363,2 Hours,Standard,4,65,Senior,2.0,Delayed,No,Maintenance,Card,Gate Payment,West Station,Al Muruj,2025-01-12,Female
TKT1001364,7 Days,First Class,100,64,Senior,50.0,On Time,No,,Card,Darb App,Ministry of Interior,Bank Albilad,2025-02-22,Female
TKT1001365,7 Days,Standard,40,64,Senior,20.0,Delayed,No,Maintenance,Apple Pay,Ticket Office,Imam University,King Fahad District,2025-01-08,Male
TKT1001366,2 Hours,Standard,4,32,Adult,4.0,Cancelled,Yes,,Apple Pay,Darb App,Alinma,Al Batha,2025-05-05,Female
TKT1001367,2 Hours,Standard,4,5,Child,0.0,Cancelled,Yes,,Apple Pay,Gate Payment,King Fahad District 2,Al Oruba,2025-03-30,Female
TKT1001368,1 Month,First Class,350,46,Adult,350.0,Delayed,No,Technical Issue,Card,TVM,Bank Albilad,Al Yarmouk,2025-04-14,Female
TKT1001369,7 Days,First Class,100,35,Adult,100.0,Cancelled,Yes,,Card,Ticket Office,KAFD,Al Aziziyah,2025-02-02,Male
TKT1001370,7 Days,Standard,40,50,Adult,40.0,Cancelled,Yes,,Card,Darb App,Princess Nourah University,STC,2025-02-26,Female
TKT1001371,2 Hours,Standard,4,48,Adult,4.0,Delayed,No,Maintenance,Cash,TVM,Al Oruba,Imam University,2024-12-18,Female
TKT1001372,1 Month,First Class,350,42,Adult,350.0,On Time,No,,Cash,Ticket Office,West Station,Olaya,2025-02-22,Male
TKT1001373,7 Days,First Class,100,32,Adult,100.0,Delayed,No,Maintenance,Apple Pay,Darb App,Ghornata,National Museum,2025-01-18,Male
TKT1001374,3 Days,Standard,20,68,Senior,10.0,Delayed,No,Technical Issue,Apple Pay,Gate Payment,Bank Albilad,Al Aziziyah,2025-05-01,Male
TKT1001375,2 Hours,Standard,4,33,Adult,4.0,On Time,No,,Apple Pay,Darb App,Alinma,Al Nuzha,2025-02-08,Female
TKT1001376,2 Hours,Standard,4,3,Child,0.0,Cancelled,Yes,,Card,TVM,SABB,Ad Dar Al Baida,2025-04-19,Female
TKT1001377,3 Days,Standard,20,66,Senior,10.0,On Time,No,,Card,Gate Payment,Ad Dar Al Baida,King Saud,2025-01-17,Female
TKT1001378,3 Days,First Class,50,22,University Student,25.0,On Time,No,,Cash,Ticket Office,Alinma,Al Murabba,2025-04-30,Male
TKT1001379,7 Days,First Class,100,53,Adult,100.0,Cancelled,Yes,,Apple Pay,Ticket Office,Sulaimaniah,Ghornata,2025-03-24,Male
TKT1001380,3 Days,Standard,20,48,Adult,20.0,Delayed,No,Technical Issue,Apple Pay,TVM,King Saud,Al Murabba,2025-04-12,Female
TKT1001381,3 Days,Standard,20,64,Senior,10.0,Delayed,No,Maintenance,Apple Pay,Darb App,Princess Nourah University,Al Dhubab,2025-03-05,Female
TKT1001382,1 Month,First Class,350,37,Adult,350.0,Cancelled,Yes,,Card,Darb App,Al Oruba,Al Murabba,2025-04-27,Female
TKT1001383,2 Hours,First Class,10,30,University Student,5.0,Delayed,No,Maintenance,Cash,TVM,Imam University,Ministry of Interior,2025-03-26,Female
TKT1001384,2 Hours,Standard,4,1,Child,0.0,Delayed,No,Maintenance,Card,Darb App,STC,King Fahad Library,2025-04-07,Female
TKT1001385,1 Month,Standard,140,19,University Student,70.0,On Time,No,,Card,Darb App,Ministry of Interior,Al Nuzha,2025-01-04,Female
TKT1001386,7 Days,First Class,100,13,School Student,50.0,On Time,No,,Card,TVM,Al Dooh,Qasr Al Hokm,2025-04-27,Male
TKT1001387,1 Month,First Class,350,27,University Student,175.0,On Time,No,,Card,TVM,Al Rabi,KKIA,2025-02-24,Male
TKT1001388,1 Month,First Class,350,58,Adult,350.0,Delayed,No,Technical Issue,Card,TVM,Ministry of Interior,King Fahad District 2,2025-02-22,Male
TKT1001389,7 Days,Standard,40,18,School Student,20.0,Cancelled,Yes,,Card,TVM,Al Aziziyah,King Fahad Library,2025-04-14,Male
TKT1001390,2 Hours,First Class,10,68,Senior,5.0,Cancelled,Yes,,Card,Ticket Office,Princess Nourah University,Al Worood,2025-01-11,Female
TKT1001391,3 Days,Standard,20,80,Senior,10.0,Delayed,No,Technical Issue,Card,Darb App,KSU,Imam University,2025-02-08,Female
TKT1001392,7 Days,First Class,100,24,University Student,50.0,Cancelled,Yes,,Card,Darb App,Al Aziziyah,Al Nuzha,2025-03-20,Male
TKT1001393,3 Days,First Class,50,20,University Student,25.0,On Time,No,,Card,Gate Payment,Al Batha,Bank Albilad,2025-01-01,Female
TKT1001394,7 Days,Standard,40,67,Senior,20.0,Cancelled,Yes,,Apple Pay,Gate Payment,King Fahad District 2,SABB,2025-04-18,Male
TKT1001395,2 Hours,First Class,10,58,Adult,10.0,Delayed,No,Maintenance,Card,Ticket Office,National Museum,Olaya,2025-04-01,Female
TKT1001396,1 Month,First Class,350,33,Adult,350.0,On Time,No,,Card,Ticket Office,Al Oruba,Al Worood,2025-02-22,Male
TKT1001397,3 Days,First Class,50,61,Senior,25.0,Cancelled,Yes,,Card,Gate Payment,Al Aziziyah,Al Worood,2024-12-06,Male
